Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Class	Sound type	Software	Confidence
80	Spectrogram 1	1	118.99	119.25	0.259999999999991	0	234.375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	118.99	5047.200418195313.wav	NN	NA	BlobDetector	0.653948228729364
81	Spectrogram 1	1	119.28	119.56	0.280000000000001	0	234.375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	119.28	5047.200418195313.wav	NN	NA	BlobDetector	0.820856311738688
82	Spectrogram 1	1	120.37	120.48	0.109999999999999	0	410.15625	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	120.37	5047.200418195313.wav	NN	NA	BlobDetector	0.765852294496091
83	Spectrogram 1	1	120.92	121	0.0799999999999983	117.1875	246.09375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	120.92	5047.200418195313.wav	FS	NA	BlobDetector	0.746111373019368
84	Spectrogram 1	1	120.92	121.01	0.0900000000000034	0	70.3125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	120.92	5047.200418195313.wav	NN	NA	BlobDetector	0.643234709818134
85	Spectrogram 1	1	121.08	121.17	0.0900000000000034	93.75	269.53125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	121.08	5047.200418195313.wav	FS	NA	BlobDetector	0.635161963349399
86	Spectrogram 1	1	121.49	121.59	0.0999999999999943	93.75	398.4375	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	121.49	5047.200418195313.wav	FS	NA	BlobDetector	0.698958688378659
87	Spectrogram 1	1	121.86	121.96	0.100000000000009	0	257.8125	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	121.86	5047.200418195313.wav	NN	NA	BlobDetector	0.50698824107949
88	Spectrogram 1	1	122.16	122.43	0.27000000000001	0	410.15625	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	122.16	5047.200418195313.wav	NN	NA	BlobDetector	0.721040401933773
89	Spectrogram 1	1	126.65	126.76	0.109999999999999	0	93.75	/Users/arielalonso/Desktop/SpReefCalls/soundfilesRCAin_200418_1505_5047\5047.200418195313.wav	126.65	5047.200418195313.wav	NN	NA	BlobDetector	0.814829446670184
